Αἶνος	n-----mn-	αἶνος
φλόγα	n-s---fa-	φλόξ
σβέννυσι	v3ppia---	σβέννυμι
τῶν	l-p---mg-	ὁ
τριῶν	m-p---mg-	τρεῖς
παίδων	n-p---mg-	παῖς
·	u--------	·
+	u--------	+
αἶνος	n-s---mn-	αἶνος
θεῶ	n-s---md-	θεός
χάρις	n-s---fn-	χάρις
τε	g--------	τε
καὶ	g--------	καί
δόξα	n-s---fn-	δόξα
","	u--------	","
πρέπει	v3spia---	πρέπω
·	u--------	·
τῶ	l-s---md-	ὁ
δόντι	n-s---md-	ὁδούς
τέρμα	n-s---na-	τέρμα
τῆς	l-s---fg-	ὁ
γραφῆς	n-s---fg-	γραφή
φθᾶσαι	v--ana---	φθάνω
σθένος	n-s---na-	σθένος
+	u--------	+
εὐαγγελιστῶν	n-p---mg-	εὐαγγελιστής
τοὺς	l-p---ma-	ὁ
θεοπνεύστους	a-p---ma-	θεόπνευστος
λόγους	n-p---ma-	λόγος
τόμοις	n-p---md-	τόμος
διαιρεθέντας	v-pappma-	διαιρέω
ἠκριβωμένως	d--------	ἠκριβωμένως
αὕτη	p-s---fn-	αὕτος
βίβλος	n-s---fn-	βύβλος
φέρουσα	v-sppafn-	φέρω
συντεταγμένους	v-prpema-	συντάττω
θαῦμα	n-s---na-	θαῦμα
πρόκειται	v3spie---	πρόκειμαι
πᾶσιν	a-p---md-	πᾶς
ἐξηρημένον	v3srpena-	ἐξαιρέω
ἐκ	r--------	ἐκ
τῆς	l-s---fg-	ὁ
γραφῆς	n-s---fg-	γραφή
ἅπαντας	a-p---ma-	ἅπας
ἕλκον	v-sppana-	ἕλκω
πρὸς	r--------	πρὸς
θέαν	n-s---fa-	θέα
ἐκ	r--------	ἐκ
τῆς	l-s---fg-	ὁ
ἀρίστης	a-s---fgs	ἀγαθός
ἐκλογῆς	n-s---fg-	ἐκλογή
τε	g--------	τε
καὶ	g--------	καί
τέχνης	n-s---fg-	τέχνη
τὸν	l-s---ma-	ὁ
ζῆλον	n-s---ma-	ζῆλος
ἐγκεντρίζον	v-sppana-	ἐγκεντρίζω
οἷς	p-p---md-	ὅς
ἐστιν	v3spia---	εἰμί
φύσις	n-s---fn-	φύσις
πρὸς	r--------	πρός
ἔργα	n-p---na-	ἔργον
φιλότιμος	a-s---fn-	φιλότιμος
εὐκλεῶν	a-p---mg-	εὐκλεής
πόνων	n-p---mg-	πόνος
ἧς	p-s---fg-	ὅς
οἱ	l-p---mn-	ὁ
τρυφῶντες	v-pppamn-	τρυφάω
τὴν	l-s---fa-	ὁ
ἐπανθοῦσαν	v-sppafa-	ἐπανθέω
χάριν	n-s---fa-	χάρις
μεταγράφοντες	v-pppamn-	μεταγράφω
ἢ	c--------	ἤ
λαλοῦντες	v-pppamn-	λαλέω
ἠρέμα	d--------	ἠρέμα
εὐχαῖς	n-p---fd-	εὐχή
φιλοφρονεῖσθε	v2ppie---	φιλοφρονέομαι
τὸν	l-s---ma-	ὁ
τετευχότα	v-srpama-	τυγχάνω
ὡς	c--------	ὡς
δεσπότην	n-s---ma-	δεσπότης
πρωτουργὸν	a-s---ma-	πρωτουργός
ὡς	c--------	ὡς
πᾶσι	a-p---md-	πᾶς
τρόποις	n-p---md-	τρόπος
ταύτην	p-s---fa-	οὗτος
προθύμως	d--------	προθύμως
κτώμενον	v-spp-na-	κτάομαι
κτῆμα	n-s---na-	κτῆμα
ξένον	a-s---na-	ξένος
.	u--------	.
ἰδρώτων	n-p--pmg-	ἱδρώς
οὐκ	d--------	οὐ
ὀλίγων	a-p---mg-	ὀλίγος
χριστὲ	n-----mv-	Χριστός
θεέ	n-----mv-	Θεός
μου	p1s---cg-	ἐγώ
:	u--------	:
ἀδίκως	d--------	ἀδίκως
στερηθεὶς	v-sappmn-	στερέω
τοὺς	l-p---ma-	ὁ
πόνους	n-p---ma-	πόνος
","	u--------	","
ἴδε	v2sama---	ὁράω
μου	p1s---cg-	ἐγώ
:	u--------	:
ἰλέω	a-s---nd-	ἱλάος
ὄμματι	n-s---nd-	ὄμμα
κἀκεῖθεν	d--------	ἐκεῖθεν
ἅφεσιν	n-s---fa-	ἄφεσις
:	u--------	:
δίδου	v2spma---	δίδωμι
μοι	p1s---cd-	ἐγώ
λύσιν	n-s---ma-	λύσις
πολλῶν	a-p---ng-	πολύς
ἀμπλακημάτων	a-p---ng-	ἀμπλάκημα
:	u--------	:
πόθω	n-----md-	πόθος
γὰρ	d--------	γάρ
προσφέρω	v1spia---	προσφέρω
σοι	p2s---cd-	σύ
τὰς	l-p---fa-	ὁ
δέκα	m--------	δέκα
βίβλους	n-p---fa-	βύβλος
βίους	n-p---ma-	βίος
ἄθλους	n-p---ma-	ἄθλος
τε	g--------	τε
μαρτύρων	n-p---mg-	μάρτυς
καὶ	g--------	καί
ὁσίων	n-p---fg-	ὁσία
:	u--------	:
πρέσβις	n-p---ma-	πρέσβυς
τούτους	p-p---ma-	οὗτος
προβαλλόμενος	v-sppemn-	προσβάλλω
θαρρήσας	v-sapamn-	θαρρέω
:	u--------	:
ὁσῆ	l-s---fd-	ὅσος
προνοία	n-s---fd-	προνοία
πρόεδρος	a-s---mn-	πρόεδρος
ἰωάννης	n-s---mn-	Ἰωάννης
+	n-s---mg-	+
.	u--------	.
Ἀγγελικῶν	a-p---mg-	ἀγγελικός
γραφίδων	n-p---mg-	γραφίς
ἀμαρύγματα	n-p---na-	ἀμάρυγμα
πολλὰ	a-p---na-	πολύς
κιχήσας	v-sapamn-	κιχάνω
","	u--------	","
ἀνθρώποις	n-p---md-	ἄνθρωπος
ἀνέφηνας	v2saia---	ἀναφαίνω
ἰδεῖν	v--ana---	ὁράω
νοοσύνθετον	a-s---na-	νοοσύνθετος
ἄστρον	a-s---na-	ἄστρον
:-	u--------	:-
Ἀγγελικῆς	a-s---fg-	ἀγγελικός
σοφίης	n-s---fg-	σοφία
ἀμαρύγματα	n-p---na-	ἀμάρυγμα
πολλὰ	a-p---na-	πολύς
κιχήσας	v-sapamn-	κιχάνω
Ἀνθρώποις	n-p---md-	ἄνθρωπος
ἀνέφηνας	v2saia---	ἀναφαίνω
ἰδεῖν	v--ana---	ὁράω
νοὸς	n-s---mg-	νοῦς
σύνθετον	a-s---na-	σύνθετος
ἄστρον	n-s---na-	ἄστρον
.	u--------	:-
Δαυὶδ	n-s---mn-	Δαυίδ
μελωδέοντι	v-sppamd-	μελῳδέω
τῆς	l-s---fg-	ὁ
ἐκκλησίας	n-s---fg-	ἐκκλησία
","	u--------	","
ὃς	p-s---mn-	ὃς
τῆ	l-s---fd-	ὁ
πρὸς	r--------	πρός
αὐτὸν	p-s---ma-	αὐτός
ἐκπλαγεὶς	v-sappmn-	ἐκπλήττω
τραγωδίη	n-s---fn-	τραγῳδία
","	u--------	","
ζώων	n-p---ng-	ζῷον
φύσεις	n-p---fa-	φύσις
θέλγοντά	v-pppama-	θέλγω
που	d--------	που
καὶ	g--------	καί
δενδρέων	n-p-n-ng-	δένδρον
ἀλλʹ	r--------	ἀλλά
ὀρφέα	n-s---ma-	Ὀρφεύς
κρούοντα	v-sppama-	κρούω
θείην	a-s---ma-	θεῖος
πυκτίδα	n-s---fa-	πυκτίς
θεὸν	n-s---ma-	θεός
σέβοντα	v-pppana-	σέβω
δʹ	g--------	δέ
+	u--------	+
Αἴγλη	n-s---fd-	αἴγλη
τριφεγγεῖ	a-s---fd-	τριφεγγής
τὸν	l-s---ma-	ὁ
νοῦν	n-s---ma-	νοῦς
λελαμπρυσμένος	v-srpemn-	λαμπρύνω
·:·	u--------	·:·
+	u--------	+
Ἤστραψας	v-sapamn-	ἀστράπτω
κόσμῳ	n-s---md-	κόσμος
βροντίσας	v-sapamn-	βροντάω
ἀριδήλος	d--------	ἀριδήλως
·:·	u--------	·:·
+	u--------	+
Τρανῶν	v-sppamn-	τρανόω
τὲ	g--------	τε
τὴν	l-s---fa-	ὁ
σάρκωσιν	n-s---fa-	σάρκωσις
τοῦ	l-s---mg-	ὁ
θείου	a-s---mg-	θεῖος
λόγου	n-s---mg-	λόγος
·:·	u--------	·:·
+	u--------	+
Ὦ	i--------	Ὦ
θεολόγε	n-s---mv-	Θεολόγος
γόνε	n-s---mv-	γόνος
βροντῆς	n-s---fg-	βροντή
ἐνθέως	d--------	ἔνθεος
·:·	u--------	·:·
·:·	u--------	·:·
αἶνος	n-s---mn-	αἶνος
κράτος	n-s---nn-	κράτος
δόξα	n-s---fn-	δόξα
